access,from,from_i,start_time,stop_time,to,to_i
177,S2,2,2019-06-20 20:44:35.873,2019-06-20 20:56:22.264,S1,1
178,S1,1,2019-06-20 20:44:35.873,2019-06-20 20:56:22.264,S2,2
179,S2,2,2019-06-20 21:16:08.729,2019-06-20 21:26:36.899,SAA,4
180,S1,1,2019-06-20 21:18:54.331,2019-06-20 21:25:09.879,SAA,4
181,S1,1,2019-06-20 21:20:04.292,2019-06-20 21:29:03.557,SCL,3
182,S2,2,2019-06-20 21:23:40.626,2019-06-20 21:25:47.237,SCL,3
183,S2,2,2019-06-20 21:32:03.768,2019-06-20 21:43:50.044,S1,1
184,S2,2,2019-06-20 21:32:03.768,2019-06-20 21:43:50.044,S1,1
185,S1,1,2019-06-20 21:32:03.768,2019-06-20 21:43:50.044,S2,2
186,S1,1,2019-06-20 21:32:03.768,2019-06-20 21:43:50.044,S2,2
187,S1,1,2019-06-20 22:19:26.505,2019-06-20 22:31:12.897,S2,2
188,S1,1,2019-06-20 22:19:26.505,2019-06-20 22:31:12.897,S2,2
189,S2,2,2019-06-20 22:19:26.505,2019-06-20 22:31:12.897,S1,1
190,S2,2,2019-06-20 22:19:26.505,2019-06-20 22:31:12.897,S1,1
191,S2,2,2019-06-20 22:51:59.311,2019-06-20 23:03:28.626,SCL,3
192,S1,1,2019-06-20 22:52:23.795,2019-06-20 23:03:48.437,SCL,3
193,S1,1,2019-06-20 23:06:54.403,2019-06-20 23:18:40.673,S2,2
194,S2,2,2019-06-20 23:06:54.403,2019-06-20 23:18:40.673,S1,1
195,S1,1,2019-06-20 23:06:54.403,2019-06-20 23:18:40.673,S2,2
196,S2,2,2019-06-20 23:06:54.403,2019-06-20 23:18:40.673,S1,1
197,S1,1,2019-06-20 23:54:17.133,2019-06-21 00:06:03.527,S2,2
198,S1,1,2019-06-20 23:54:17.133,2019-06-21 00:06:03.527,S2,2
199,S2,2,2019-06-20 23:54:17.133,2019-06-21 00:06:03.527,S1,1
200,S2,2,2019-06-20 23:54:17.133,2019-06-21 00:06:03.527,S1,1
201,S2,2,2019-06-21 00:27:47.815,2019-06-21 00:36:01.824,SCL,3
202,S2,2,2019-06-21 00:41:45.033,2019-06-21 00:53:31.303,S1,1
203,S1,1,2019-06-21 00:41:45.033,2019-06-21 00:53:31.303,S2,2
204,S1,1,2019-06-21 00:41:45.033,2019-06-21 00:53:31.303,S2,2
205,S2,2,2019-06-21 00:41:45.033,2019-06-21 00:53:31.303,S1,1
206,S2,2,2019-06-21 01:29:07.760,2019-06-21 01:40:54.159,S1,1
207,S1,1,2019-06-21 01:29:07.760,2019-06-21 01:40:54.159,S2,2
208,S1,1,2019-06-21 01:29:07.760,2019-06-21 01:40:54.159,S2,2
209,S2,2,2019-06-21 01:29:07.760,2019-06-21 01:40:54.159,S1,1
210,S1,1,2019-06-21 01:44:18.493,2019-06-21 01:55:25.788,CAL,5
211,S2,2,2019-06-21 01:44:54.311,2019-06-21 01:53:31.998,CAL,5
212,S2,2,2019-06-21 02:16:35.665,2019-06-21 02:28:21.932,S1,1
213,S2,2,2019-06-21 02:16:35.665,2019-06-21 02:28:21.932,S1,1
214,S1,1,2019-06-21 02:16:35.665,2019-06-21 02:28:21.932,S2,2
215,S1,1,2019-06-21 02:16:35.665,2019-06-21 02:28:21.932,S2,2
216,S1,1,2019-06-21 03:03:58.392,2019-06-21 03:15:44.792,S2,2
217,S2,2,2019-06-21 03:03:58.392,2019-06-21 03:15:44.792,S1,1
218,S2,2,2019-06-21 03:03:58.392,2019-06-21 03:15:44.792,S1,1
219,S1,1,2019-06-21 03:03:58.392,2019-06-21 03:15:44.792,S2,2
220,S2,2,2019-06-21 03:17:40.276,2019-06-21 03:29:09.398,CAL,5
221,S1,1,2019-06-21 03:18:34.434,2019-06-21 03:28:33.367,CAL,5
222,S1,1,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S2,2
223,S2,2,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S1,1
224,S2,2,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S1,1
225,S1,1,2019-06-21 03:51:26.297,2019-06-21 04:03:12.559,S2,2
226,S2,2,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S1,1
227,S1,1,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S2,2
228,S1,1,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S2,2
229,S2,2,2019-06-21 04:38:49.020,2019-06-21 04:50:35.426,S1,1
230,S2,2,2019-06-21 04:54:46.162,2019-06-21 04:58:01.671,CAL,5
